treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,gas production
treatment company 7,-18.32,15187.0,9102.0,2014-07-01,operator 11,5963.0,1906.4178,12.93,8.0,0.0,34906.12,0.31,0.03,0.25,,4.57,0.63,11850.62,7098.2,31.07,6302.0,7006.0,71.0,30.0,3424036.0,1.01,2516.0481897125
treatment company 8,,12540.0,6575.0,2012-07-01,operator 4,5508.0,,2.34,19.0,7815.0,33131.2,0.29,,0.33,,4.68,0.62,13196.24,6988.52,31.04,4528.0,,83.0,18.0,7514996.0,1.12,662.9539522499998
treatment company 4,-31.35,16947.0,7676.0,2015-07-01,operator 4,8744.0,1473.2708,30.58,5.0,438.0,29852.84,0.06,0.03,0.34,,4.71,0.83,12969.47,6927.79,30.95,6189.0,,100.0,59.0,14618668.0,0.92,2650.0495330500007
treatment company 10,-34.349998,13736.0,6600.0,2018-07-01,operator 16,6499.0,2604.1125,307.42,1.0,484.0,34589.6,0.55,0.01,0.34,,4.71,0.38,13462.05,6905.12,30.74,3833.0,7651.0,80.0,33.0,6979454.0,0.71,1587.0493273124996
treatment company 12,-44.189999,10270.0,6263.0,2015-02-01,operator 25,3812.0,1507.9883,4.9,12.0,0.0,35210.29,0.54,0.02,0.21,0.76,4.75,0.41,13452.27,6795.38,26.47,4432.0,,91.0,24.0,10301531.0,1.27,1541.8620948375
treatment company 12,9.9799995,15160.0,7743.0,2018-02-01,operator 4,7167.0,1492.8489,0.78,10.0,0.0,34610.82,0.45,0.02,0.33,,4.73,0.6,13262.2,7026.82,31.1,,,98.0,19.0,7609006.0,1.25,1495.5627035062496
treatment company 9,-5.96,14212.0,8178.0,2012-07-01,operator 17,5512.0,3847.2051,16.3,4.0,0.0,34675.16,0.01,0.02,0.25,,2.01,0.64,11168.53,6791.41,28.52,5774.0,,78.0,17.0,,0.47,1958.9389635625
treatment company 2,-26.23,11955.0,7269.0,2015-02-01,operator 6,4436.0,1403.0681,4.86,7.0,0.0,34774.38,0.12,,0.24,0.96,4.52,0.57,11361.81,6789.11,27.81,,,99.0,20.0,8896262.0,1.55,3785.863215062499
treatment company 10,-54.5,10323.0,6571.0,2013-02-01,operator 11,3489.0,4989.8267,16.04,24.0,0.0,34782.05,0.43,0.02,0.33,,4.75,0.46,13188.1,7182.15,31.45,4171.0,,70.0,17.0,5071552.0,0.96,518.57018590625
treatment company 4,-49.299999,17903.0,7787.0,2016-02-01,operator 4,9866.0,3806.5669,6.07,8.0,2385.0,34775.43,1.2,0.07,0.35,,5.08,0.93,12073.87,6411.02,,5675.0,,86.0,58.0,,0.9,2347.6194649500007
treatment company 8,-40.880001,11000.0,6217.0,2011-01-01,operator 23,4663.0,4690.1875,20.66,1.0,1791.0,32718.75,0.39,0.02,0.33,,4.72,0.58,13268.2,7001.02,31.04,4567.0,,79.0,19.0,5590514.0,1.07,245.22464171125
treatment company 7,-46.360001000000004,12800.0,9022.0,2013-01-01,operator 11,2654.0,3547.989,1.29,31.0,14985.0,35039.79,0.56,0.04,0.26,,4.84,0.8,11836.17,7093.81,31.41,6194.0,,68.0,9.0,1358721.0,0.55,555.4331334687502
treatment company 8,,15111.0,6318.0,2013-12-01,operator 1,8372.0,,41.96,15.0,10042.0,33923.5,0.26,0.01,0.33,,4.78,0.52,13552.73,6998.7,30.93,,,78.0,32.0,11923180.0,1.24,1107.98676681875
treatment company 12,-13.13,13620.0,7745.0,2014-01-01,operator 25,5536.0,3057.3665,31.27,4.0,0.0,30102.8,0.3,0.02,0.26,,2.4,0.6,11131.11,6782.47,28.77,5866.0,,86.0,30.0,8991503.0,0.84,1038.61918079375
treatment company 12,-61.389998999999996,13565.0,5836.0,2014-07-01,operator 19,7602.0,1633.3925,0.46,8.0,3831.0,34198.38,0.5,0.02,0.33,0.85,4.9,0.53,13286.44,7014.33,31.03,4312.0,,82.0,32.0,,0.8,866.1471963625
treatment company 1,-47.549999,13948.0,8123.0,2011-07-01,operator 20,5553.0,2650.5256,4.89,9.0,3073.0,34653.08,1.0,0.06,0.29,,5.95,0.44,11644.36,7034.93,31.58,6067.0,,84.0,14.0,4933661.0,1.31,1203.4259982875
treatment company 10,-57.98,12350.0,6634.0,2015-09-01,operator 4,5466.0,1055.963,65.03,2.0,5024.0,34805.43,0.56,0.01,0.33,0.86,4.79,0.42,13451.81,6932.67,30.82,4940.0,,98.0,24.0,7147026.0,0.89,1397.1430655187496
treatment company 3,-28.23,17275.0,6408.0,2016-04-01,operator 5,10598.0,3292.4211,22.69,7.0,3927.0,34634.34,1.16,0.05,0.34,,3.74,1.71,12509.37,6576.96,29.96,4922.0,,72.0,71.0,15349165.0,0.91,2901.399644325
treatment company 1,-11.23,13591.0,7599.0,2016-06-01,operator 11,4759.0,4637.3706,5.1,6.0,0.0,32095.76,0.57,0.03,0.33,0.85,4.63,0.46,12889.83,7136.86,31.54,5295.0,5678.0,70.0,24.0,4731106.0,1.41,1397.7439048125
treatment company 17,-1.1,16188.0,7040.0,2017-07-01,operator 16,8898.0,1592.8087,29.11,7.0,4437.0,27888.26,1.05,0.05,0.34,,3.82,1.63,12585.78,6570.42,29.93,4284.0,,80.0,43.0,4863200.0,0.94,1720.4260261874995
treatment company 9,,14342.0,6371.0,2019-01-01,operator 5,7562.0,1932.4644,18.15,8.0,0.0,34719.56,0.63,0.01,0.33,,4.93,0.45,13486.3,6960.06,30.88,4044.0,,77.0,38.0,15242850.0,1.17,2289.68663588125
treatment company 10,12.96,12200.0,7520.0,2012-07-01,operator 25,4184.0,1290.8907,10.55,9.0,1742.0,35169.83,0.63,0.02,0.27,,4.12,0.54,11185.33,6775.93,28.77,5837.0,,89.0,16.0,,2.4,3417.6860559062493
treatment company 1,-72.230003,13945.0,8016.0,2013-07-01,operator 33,4840.0,1253.2977,19.44,13.0,6271.0,34680.61,0.89,,0.33,,4.64,0.94,12940.17,7418.72,33.1,6396.0,9128.0,79.0,17.0,4800144.0,0.93,953.7184040875
treatment company 9,-26.780001000000002,17713.0,8394.0,2017-09-01,operator 6,9207.0,1244.8481,1.49,24.0,2516.0,34661.95,0.72,0.06,0.22,0.84,2.51,0.53,12088.5,6810.84,28.23,6476.0,,89.0,65.0,24405690.0,1.74,5258.2480575625
treatment company 4,-65.199997,11609.0,5916.0,2017-06-01,operator 19,5288.0,,6.03,6.0,0.0,34773.26,0.56,0.01,0.33,0.78,4.75,0.4,13457.7,6923.45,30.79,4191.0,,84.0,22.0,7576739.0,0.72,527.796233195625
treatment company 17,-43.029999,18919.0,7899.0,2018-09-01,operator 12,10351.0,3501.4709,115.46,2.0,7579.0,30979.92,0.54,0.01,0.33,0.86,4.83,0.42,13453.26,6933.44,30.81,5925.0,7410.0,80.0,52.0,18151500.0,1.07,2109.534819725
treatment company 8,-34.32,14716.0,8642.0,2014-01-01,operator 6,5824.0,3160.4092,5.31,21.0,0.0,35215.04,1.15,0.08,0.21,,2.94,0.46,11812.77,6816.2,28.0,5827.0,,73.0,24.0,11585522.0,1.38,3078.0573438387505
treatment company 1,-25.370001000000002,12148.0,5868.0,2017-10-01,operator 11,6030.0,1841.3995,0.96,4.0,0.0,30817.54,0.53,,0.33,,4.78,0.41,13451.61,6934.0,30.82,4102.0,6024.0,94.0,28.0,11245612.0,1.02,908.31339434375
treatment company 9,-13.98,16913.0,8780.0,2015-06-01,operator 11,7705.0,900.8363,8.39,6.0,0.0,34700.6,0.35,0.03,0.25,0.97,4.61,0.62,11838.53,7095.44,31.08,6017.0,,71.0,40.0,4578652.0,1.03,3753.75364013125
treatment company 16,-22.1,17682.0,6753.0,2015-07-01,operator 4,10679.0,,10.2,5.0,4320.0,34671.63,0.26,0.01,0.33,,4.68,0.61,13255.15,6964.58,30.96,5176.0,8867.0,96.0,55.0,16368358.0,0.92,1770.11686725625
treatment company 1,-70.739998,11019.0,6515.0,2012-04-01,operator 11,3571.0,4166.6694,1.7,9.0,5592.0,34895.95,0.37,0.02,0.33,,4.77,0.44,13229.74,7173.83,31.42,3705.0,,69.0,12.0,3618407.0,0.92,340.30334768875014
treatment company 5,-32.650002,16000.0,7493.0,2012-07-01,operator 8,7922.0,452.8295,6.6,9.0,0.0,34850.7,1.23,0.04,0.32,0.82,4.86,0.95,12595.56,7452.86,32.87,5541.0,6455.0,86.0,28.0,,0.44,1123.177267775
treatment company 9,-40.810001,17253.0,6811.0,2016-04-01,operator 1,10147.0,645.08032,3.75,13.0,0.0,34601.01,1.21,0.05,0.31,,4.76,0.45,12628.75,6759.13,,4923.0,,97.0,27.0,20012994.0,1.59,2707.71085961875
treatment company 7,-8.819999699999999,14328.0,8640.0,2011-11-01,operator 11,5480.0,,15.28,2.0,2721.0,34850.7,0.93,0.05,0.29,0.33,4.22,0.66,11806.83,7088.34,31.83,6162.0,,71.0,17.0,6958081.0,1.23,1536.89467353125
treatment company 8,-15.95,16753.0,6103.0,2015-01-01,operator 1,10153.0,2925.3938,525.5,1.0,4768.0,34779.81,0.3,0.01,0.33,0.84,4.84,0.54,13355.79,7119.13,31.26,4261.0,,37.0,40.0,14720418.0,1.27,1071.1041727326876
treatment company 7,16.24,12425.0,8961.0,2013-02-01,operator 11,2423.0,993.44464,37.23,8.0,3651.0,34589.6,0.31,0.02,0.26,,4.37,0.68,11855.48,7095.21,31.29,,,69.0,10.0,1228056.0,0.57,1593.2997775125002
treatment company 12,-41.25,14296.0,7626.0,2018-05-01,operator 4,6297.0,4052.1416,22.23,5.0,3462.0,34289.8,0.52,0.03,0.33,0.86,4.69,0.52,12821.43,7140.64,31.61,5383.0,,98.0,33.0,14598441.0,1.46,2624.51459813125
treatment company 11,-31.74,12630.0,6936.0,2015-10-01,operator 14,5353.0,3892.6096,38.23,13.0,6264.0,35097.07,1.07,0.03,0.29,,4.76,0.45,11837.54,6766.12,28.63,5128.0,,81.0,30.0,,1.06,5580.788187999999
treatment company 1,-43.099998,17390.0,7325.0,2018-12-01,operator 6,9425.0,2511.2312,17.24,2.0,5227.0,33244.59,0.3,0.01,0.33,0.85,4.69,0.6,13252.12,6966.27,30.96,5504.0,,92.0,39.0,14981811.0,1.63,8526.30062409375
treatment company 12,-15.98,19905.0,5602.0,2017-03-01,operator 8,13209.0,2242.8591,32.55,3.0,3779.0,34358.96,0.52,0.01,0.34,,4.73,0.51,13400.65,6960.89,30.93,,,99.0,27.0,,1.33,1140.27481811875
treatment company 4,-54.57,13517.0,6297.0,2014-07-01,operator 1,6970.0,1586.9873,5.85,5.0,3278.0,33424.88,0.47,,0.33,,4.68,0.59,13214.46,7040.7,31.16,,5933.0,99.0,15.0,9659354.0,1.47,1580.0597145999998
treatment company 4,-36.07,15998.0,6156.0,2017-04-01,operator 7,9510.0,1459.3691,31.14,3.0,4184.0,34207.25,0.31,0.02,0.33,0.87,4.67,0.62,13194.92,6992.86,31.05,4274.0,,95.0,47.0,12339629.0,1.25,1163.8270451562496
treatment company 16,-30.25,16545.0,7935.0,2015-02-01,operator 4,7885.0,1488.7592,5.58,8.0,0.0,31386.11,0.05,0.02,0.34,,4.6,0.73,13166.28,6894.45,30.77,5866.0,9079.0,90.0,52.0,10443903.0,0.86,2918.4466197187508
treatment company 8,,13464.0,7182.0,2016-12-01,operator 6,5911.0,1467.8705,2.17,28.0,16451.0,34853.53,0.92,,0.21,0.64,4.75,0.68,11027.84,6805.19,27.36,5286.0,,96.0,24.0,,2.11,2951.6808885818746
treatment company 5,19.969998999999998,9034.0,5879.0,2013-01-01,operator 34,3085.0,1542.1989,502.4,1.0,363.0,34732.74,0.44,0.02,0.29,,4.63,0.58,13191.99,6968.56,30.95,4723.0,,15.0,11.0,4913642.0,1.16,486.9787394062501
treatment company 5,-7.75,13023.0,7260.0,2015-03-01,operator 11,5420.0,512.48492,2.26,6.0,4724.0,34521.71,0.56,0.03,0.33,0.79,4.58,0.5,13052.83,7102.99,31.36,4671.0,7165.0,69.0,27.0,7804971.0,0.79,887.88605759375
treatment company 12,-76.889999,9936.0,5945.0,2013-07-01,operator 19,3412.0,1422.9575,41.92,7.0,0.0,34579.82,0.44,0.02,0.33,0.86,4.67,0.59,13187.58,7039.6,31.16,4517.0,,80.0,13.0,4280864.0,0.77,384.792221555
treatment company 12,,10633.0,6259.0,2014-01-01,operator 22,4124.0,844.6967199999999,1.27,19.0,7462.0,33858.07,0.44,0.02,0.33,0.85,4.68,0.59,13206.37,7037.54,31.15,4702.0,,100.0,19.0,7800685.0,1.13,1165.13283216875
treatment company 8,-12.12,12243.0,6549.0,2012-04-01,operator 6,5408.0,1809.4129999999998,5.63,4.0,3421.0,34952.24,0.23,0.01,0.24,,5.09,0.39,12337.41,6785.76,27.28,4270.0,,73.0,10.0,,1.17,1421.4598429874998
treatment company 7,-47.02,12946.0,8951.0,2012-09-01,operator 11,3216.0,2123.9268,0.44,14.0,3852.0,34833.35,0.52,0.02,0.33,,4.44,0.27,13487.18,6854.06,30.59,5937.0,,75.0,9.0,1089553.0,0.69,620.7363435049998
treatment company 13,-41.77,13910.0,5583.0,2013-07-01,operator 15,7648.0,1015.6231,17.59,9.0,0.0,34634.34,0.81,0.07,0.19,,5.3,0.58,12618.0,7056.13,27.95,3432.0,,91.0,21.0,7185740.0,1.25,1057.71148618125
treatment company 12,-39.529999,13932.0,7785.0,2018-09-01,operator 4,5567.0,1417.285,4.61,5.0,3297.0,34735.2,0.17,0.02,0.33,0.9,4.68,0.74,12989.04,6996.36,31.15,4687.0,,101.0,28.0,12646536.0,1.5,2580.7697226875
treatment company 1,-2.1300001,11600.0,7660.0,2014-05-01,operator 25,3603.0,913.85675,67.89,9.0,0.0,34594.44,0.61,0.01,0.28,,3.21,0.55,11230.72,6775.75,28.98,5708.0,,90.0,20.0,5740858.0,0.86,1073.55228736875
treatment company 29,-49.82,8765.0,6609.0,2012-05-01,operator 14,1776.0,4918.9009,563.81,1.0,12780.0,30206.05,0.2,0.03,0.25,,5.14,0.62,11875.97,6781.64,27.63,4577.0,6486.0,81.0,11.0,4047350.0,1.05,2088.3645096875
treatment company 9,-12.52,13606.0,7773.0,2017-09-01,operator 6,5100.0,1187.0448,11.93,11.0,4910.0,33268.11,0.84,0.06,0.22,,2.95,0.48,11811.83,6809.81,28.05,6006.0,,85.0,19.0,7612057.0,1.5,2599.21567254375
treatment company 5,-41.650002,12658.0,7429.0,2015-03-01,operator 18,4894.0,552.74451,14.49,17.0,3392.0,34601.01,0.42,0.02,0.33,,4.69,0.59,13230.23,7017.28,31.09,5473.0,,97.0,33.0,6601325.0,1.05,1004.3711523375
treatment company 1,-41.27,17418.0,,2015-09-01,operator 8,10288.0,2214.208,2.46,21.0,4023.0,34634.34,0.76,0.02,0.34,,5.78,0.2,13700.52,6893.03,30.67,4685.0,,89.0,43.0,20374586.0,1.04,1914.9742867562506
treatment company 2,-41.09,16155.0,6160.0,2015-07-01,operator 7,9750.0,2751.2017,123.92,2.0,6089.0,35504.02,0.26,0.01,0.29,,4.68,0.62,13263.35,6960.29,30.94,4358.0,,96.0,51.0,19898312.0,1.2,1578.313903911875
treatment company 1,-18.969998999999998,12560.0,7350.0,2017-02-01,operator 5,4888.0,3985.7939,1.84,10.0,3831.0,34731.08,1.28,0.06,0.34,,4.27,1.77,12253.15,6432.73,29.63,5219.0,6132.0,77.0,24.0,12470437.0,1.2,1832.6542904562507
treatment company 11,-23.5,12437.0,8148.0,2013-07-01,operator 6,4493.0,2399.5017,3.31,6.0,0.0,35063.55,1.42,0.05,0.23,,4.06,0.45,12193.38,6815.48,27.77,4230.0,,98.0,9.0,5510162.0,1.32,1538.4648437124995
treatment company 12,-31.68,16533.0,8418.0,2014-07-01,operator 9,7776.0,2457.5232,14.99,7.0,4703.0,34365.49,0.94,0.05,0.27,,4.85,0.5,11581.41,7045.97,31.2,5975.0,,91.0,37.0,,1.08,797.84510850625
treatment company 4,-35.02,12576.0,6721.0,2013-07-01,operator 1,5565.0,3115.2761,53.02,19.0,0.0,35140.32,0.56,0.02,0.34,0.85,4.5,0.28,13500.49,6877.83,30.66,4546.0,,101.0,18.0,6164748.0,0.93,2084.93098619375
treatment company 9,-31.129998999999998,16055.0,6459.0,2018-05-01,operator 5,9241.0,4044.5259,45.08,3.0,3057.0,34807.8,1.38,0.05,0.34,,3.65,1.88,12357.45,6532.9,29.89,4242.0,5282.0,76.0,46.0,763879.0,0.04,2309.8657700375
treatment company 11,-13.62,12902.0,6381.0,2012-05-01,operator 6,5497.0,,29.56,14.0,5788.0,27092.15,0.98,0.03,0.22,0.56,4.77,0.7,11366.32,6785.4,26.61,9295.0,,50.0,12.0,5935884.0,1.23,723.0671564124998
treatment company 8,-54.529999,12564.0,6335.0,2017-01-01,operator 26,5588.0,4083.3865,28.99,7.0,0.0,31415.37,0.31,0.02,0.33,,4.67,0.62,13196.83,6994.84,31.06,4979.0,,98.0,22.0,10151674.0,0.91,478.936171514375
treatment company 10,-66.41999799999999,9800.0,6085.0,2012-01-01,operator 11,3355.0,1955.4047,0.89,6.0,6372.0,34824.22,0.26,0.02,0.33,,4.68,0.61,13247.61,6954.64,30.93,3802.0,,69.0,9.0,2761486.0,1.08,199.970802550625
treatment company 4,13.46,16540.0,7540.0,2017-09-01,operator 4,8750.0,2140.6873,73.38,7.0,2299.0,28881.88,0.81,0.05,0.34,0.52,,1.02,12993.35,6612.42,29.97,4566.0,,100.0,37.0,16657230.0,1.36,2893.1635338062492
treatment company 12,-58.369999,12492.0,8428.0,2012-07-01,operator 26,3685.0,934.5148300000001,7.58,15.0,0.0,34553.94,0.27,0.03,0.33,0.98,5.18,0.91,13073.99,6984.95,31.69,5638.0,9481.0,85.0,9.0,2739042.0,0.78,584.9642686375
treatment company 12,-55.110001000000004,11086.0,5493.0,2018-09-01,operator 22,5343.0,3815.1475,1.65,17.0,8537.0,33749.47,0.55,,0.34,0.87,4.71,0.38,13462.05,6905.12,30.74,4170.0,,101.0,28.0,12576111.0,1.12,880.6321286750001
treatment company 5,-20.799999,21040.0,,2018-04-01,operator 5,13989.0,2213.1318,3.41,8.0,2077.0,34724.5,0.47,0.02,0.33,,4.64,0.57,13168.79,7058.84,31.22,4862.0,,77.0,70.0,28314020.0,1.07,4679.72625409375
treatment company 3,-13.68,13931.0,7089.0,2014-12-01,operator 5,6501.0,894.92255,0.41,7.0,0.0,31181.42,1.3,0.07,0.34,0.42,4.28,1.83,12157.02,6409.2,29.6,,,64.0,32.0,6480177.0,0.76,1520.4001357187494
treatment company 1,-34.82,11340.0,6961.0,2017-10-01,operator 1,3999.0,2131.3936,3.78,8.0,1775.0,30761.22,0.49,0.02,0.33,0.87,4.66,0.59,13170.5,7029.04,31.13,4985.0,,99.0,19.0,7689927.0,1.38,2178.56895989375
treatment company 9,-25.91,17864.0,8893.0,2018-11-01,operator 6,8721.0,416.90167,13.17,6.0,0.0,27750.89,1.15,0.08,0.21,0.73,2.84,0.45,11864.68,6817.09,28.04,4427.0,,77.0,29.0,14932883.0,1.71,1513.9579444875005
treatment company 3,-43.18,17073.0,6298.0,2017-08-01,operator 15,10525.0,,30.56,3.0,0.0,35185.98,0.44,0.02,0.33,,4.71,0.56,13320.35,6961.99,30.94,4848.0,,66.0,41.0,16345489.0,2.1,1673.6605789
treatment company 8,-35.330002,11495.0,6744.0,2012-07-01,operator 4,4324.0,,8.81,15.0,7417.0,34726.36,0.31,0.02,0.33,,4.66,0.61,13182.77,7015.94,31.11,4376.0,,83.0,15.0,5950557.0,1.13,477.60198570562505
treatment company 10,-25.950001,19143.0,7445.0,2017-12-01,operator 4,11448.0,,14.94,6.0,0.0,34773.26,0.6,0.04,0.33,,4.75,0.45,12764.1,7179.85,31.72,5678.0,,98.0,72.0,24952536.0,1.05,5059.13836628125
treatment company 4,-17.85,13811.0,5996.0,2016-06-01,operator 7,6947.0,631.27002,16.75,5.0,3462.0,34391.15,0.52,0.02,0.27,,4.44,0.27,13487.18,6854.06,30.59,4166.0,,93.0,36.0,9055875.0,1.09,1228.3968380625
treatment company 1,-53.900002,13836.0,8090.0,2013-07-01,operator 26,5225.0,1774.6006,4.37,10.0,3582.0,33042.41,1.11,0.05,0.32,,5.46,0.83,12633.21,7381.92,32.72,5248.0,,93.0,15.0,4992974.0,0.8,722.1376347312498
treatment company 10,-27.120001000000002,10760.0,6485.0,2012-08-01,operator 11,3673.0,4254.8628,4.07,10.0,0.0,35207.9,0.34,0.02,0.33,0.75,4.8,0.49,13260.29,7158.92,31.37,4328.0,6074.0,69.0,18.0,9034532.0,1.33,749.6986083562498
treatment company 8,-14.69,14678.0,8426.0,2013-01-01,operator 6,6362.0,2946.9929,13.74,19.0,2288.0,34594.44,1.41,0.08,0.22,,4.03,0.49,12188.09,6822.02,27.83,5050.0,9238.0,83.0,9.0,7871139.0,1.41,2193.23251771875
treatment company 2,-42.59,11210.0,6356.0,2014-01-01,operator 2,4390.0,3572.7239,10.24,6.0,0.0,30584.51,0.4,0.02,0.21,,4.58,0.44,14501.58,6794.11,26.11,4861.0,8936.0,108.0,12.0,7179316.0,1.94,1400.62117690625
treatment company 12,-25.559998999999998,11463.0,8096.0,2013-01-01,operator 19,2897.0,1068.6906,22.62,8.0,3661.0,34789.16,0.9,0.06,0.31,,,0.3,13096.09,7018.67,31.74,6139.0,,83.0,14.0,5509186.0,1.21,577.646588375
treatment company 8,,16207.0,5979.0,2014-10-01,operator 1,9848.0,,30.53,8.0,0.0,35224.25,0.06,0.02,0.34,,4.61,0.73,13170.64,6895.76,30.78,,,79.0,39.0,15216418.0,1.22,650.559619625
treatment company 12,-39.84,16010.0,6298.0,2017-05-01,operator 8,9258.0,843.7299800000001,154.54,3.0,7109.0,32081.61,0.27,0.02,0.33,,4.68,0.63,13220.38,6970.94,30.98,4115.0,,90.0,45.0,17972466.0,1.3,1498.55897405
treatment company 2,-50.049999,14565.0,7898.0,2016-03-01,operator 4,6439.0,3302.4597,8.3,12.0,0.0,34798.83,0.86,0.04,0.34,,4.21,0.12,13544.72,6819.87,30.49,4798.0,,99.0,32.0,8555328.0,0.89,2683.929989125
treatment company 10,-16.93,11638.0,5826.0,2013-07-01,operator 1,5419.0,4213.7256,11.76,7.0,0.0,35153.19,0.06,0.02,0.33,,4.61,0.73,13169.32,6894.85,30.77,4398.0,,87.0,11.0,6950679.0,1.48,569.4799280131251
treatment company 1,-22.540001,15675.0,5838.0,2018-04-01,operator 1,9587.0,3400.9429,4.89,8.0,0.0,34782.05,0.48,,0.33,,4.65,0.58,13166.54,7031.03,31.14,4352.0,8493.0,97.0,65.0,31351924.0,1.55,1670.52497765625
treatment company 4,-39.209998999999996,10252.0,6521.0,2012-03-01,operator 1,3405.0,,14.96,11.0,6808.0,35185.86,0.76,,0.2,,4.47,0.54,12754.05,6799.38,26.26,4344.0,,95.0,13.0,6325061.0,0.94,1095.44911618125
treatment company 4,-28.42,12365.0,6542.0,2012-01-01,operator 1,4826.0,,21.46,6.0,5596.0,34814.07,0.53,0.01,0.21,0.69,4.4,0.5,13677.51,6796.9,26.13,4489.0,,100.0,13.0,4420013.0,0.75,1194.92829571875
treatment company 4,13.92,12933.0,6417.0,2017-11-01,operator 14,6266.0,4512.0156,2.98,2.0,2498.0,28842.14,0.33,0.02,0.24,0.87,5.13,0.47,12472.76,6782.91,27.29,,,109.0,30.0,15120755.0,1.19,3986.51815125625
treatment company 10,-38.27,11599.0,6220.0,2012-04-01,operator 6,4972.0,3459.4055,6.46,8.0,8133.0,29025.97,1.05,,0.2,,4.64,0.62,11685.11,6802.88,26.5,4027.0,,77.0,10.0,6564580.0,1.34,1093.86026955
treatment company 8,-40.049999,14525.0,8155.0,2014-04-01,operator 6,5513.0,837.61316,55.86,5.0,4309.0,30717.19,1.23,0.08,0.21,0.84,,0.46,11631.22,6815.16,27.87,5957.0,9088.0,95.0,17.0,9018672.0,2.1,3625.45574859375
treatment company 10,-39.740002000000004,10873.0,6682.0,2013-07-01,operator 11,3981.0,1037.9181,1.02,7.0,5011.0,31605.24,0.46,0.02,0.33,,4.79,0.64,13300.4,7090.48,31.22,3942.0,6386.0,70.0,20.0,,0.86,920.08496354375
treatment company 7,-40.119999,12556.0,8685.0,2016-01-01,operator 11,3681.0,,30.42,13.0,0.0,35249.91,0.87,0.05,0.32,,5.54,0.79,12484.97,7092.76,32.41,5572.0,,71.0,19.0,,1.09,710.6789204187502
treatment company 4,-50.639998999999996,13514.0,7719.0,2016-02-01,operator 4,5003.0,2775.3516,14.02,8.0,0.0,34779.81,1.21,0.07,0.35,0.44,5.07,0.93,12080.44,6411.9,29.42,5883.0,9081.0,97.0,34.0,8526570.0,0.96,1074.84549151875
treatment company 3,-40.439999,15974.0,7437.0,2018-09-01,operator 8,8272.0,2209.3396,21.42,18.0,0.0,35053.87,0.6,0.01,0.33,,4.87,0.45,13460.44,6953.45,30.87,4853.0,,91.0,42.0,,1.56,5450.431436999998
treatment company 2,-14.86,11790.0,6277.0,2015-07-01,operator 2,5354.0,3984.4895,20.82,7.0,1204.0,34726.36,1.3,0.11,0.2,,6.71,0.44,12027.24,6979.02,27.9,4791.0,,108.0,14.0,8810000.0,2.39,1102.29135051875
treatment company 4,-39.549999,13708.0,7065.0,2019-01-01,operator 8,6276.0,2172.7048,0.14,3.0,0.0,29434.38,0.43,0.01,0.34,0.84,,0.57,13599.66,6944.12,30.83,4608.0,,95.0,28.0,15695820.0,1.61,2895.5390924124995
treatment company 12,-26.0,15788.0,7337.0,2017-10-01,operator 25,8201.0,,292.35,1.0,4899.0,34736.92,1.51,0.02,0.24,,4.02,0.48,12143.75,6853.13,28.37,4832.0,,93.0,17.0,5157341.0,1.29,1308.41430445
treatment company 1,-25.379998999999998,9690.0,,2013-07-01,operator 25,2878.0,2162.9424,505.44,1.0,3601.0,34486.48,0.59,0.02,0.33,,,0.31,13507.64,6877.28,30.66,,,89.0,13.0,,2.74,1098.965941025
treatment company 8,-47.18,11558.0,6239.0,2013-06-01,operator 1,4747.0,1653.9868,49.1,2.0,0.0,30710.84,0.18,0.01,0.33,,4.86,0.52,13509.16,7034.71,31.02,4557.0,,80.0,12.0,6910380.0,1.37,459.616874818125
treatment company 10,-51.02,10104.0,6340.0,2013-03-01,operator 11,3457.0,,2.78,2.0,0.0,34669.05,0.46,0.02,0.34,0.88,4.68,0.59,13210.48,7036.46,31.15,4206.0,,70.0,17.0,,0.97,399.325656936875
treatment company 1,-14.43,14404.0,6437.0,2016-11-01,operator 1,7020.0,1152.5765,34.4,9.0,0.0,35167.84,0.68,,0.33,,5.08,0.4,13595.4,6955.35,30.83,4491.0,,97.0,34.0,14222506.0,1.32,3861.7433303375
treatment company 4,-46.950001,15300.0,6608.0,2014-07-01,operator 1,7971.0,,6.24,16.0,12479.0,34546.34,1.08,0.05,0.28,,4.99,0.44,12239.85,6766.13,28.21,5242.0,,100.0,30.0,14755076.0,1.33,3297.8067416124995
treatment company 19,-31.879998999999998,16880.0,8237.0,2014-01-01,operator 20,7903.0,4689.2495,36.11,1.0,1709.0,34869.13,0.47,0.02,0.34,,4.66,0.58,13192.18,7046.91,31.18,4936.0,,90.0,19.0,7225646.0,1.52,1811.05773366875
treatment company 1,-42.549999,12056.0,8052.0,2014-01-01,operator 25,3875.0,936.35461,0.68,25.0,10641.0,34583.67,0.5,0.02,0.34,0.82,4.83,0.56,13280.73,7014.03,31.04,4753.0,,89.0,22.0,16650056.0,1.77,3360.8313036074987
